"startTime";"endTime";"wind";"solar"
"2023-03-31T22:00:00.000Z";"2023-03-31T23:00:00.000Z";2188.8;0
"2023-03-31T23:00:00.000Z";"2023-04-01T00:00:00.000Z";2415;0
"2023-04-01T00:00:00.000Z";"2023-04-01T01:00:00.000Z";2465.9;0
"2023-04-01T01:00:00.000Z";"2023-04-01T02:00:00.000Z";2620.59999;0
"2023-04-01T02:00:00.000Z";"2023-04-01T03:00:00.000Z";3029.69999;0
"2023-04-01T03:00:00.000Z";"2023-04-01T04:00:00.000Z";3006.59999;0
"2023-04-01T04:00:00.000Z";"2023-04-01T05:00:00.000Z";2822.69999;27.6
"2023-04-01T05:00:00.000Z";"2023-04-01T06:00:00.000Z";2807.4;117.7
"2023-04-01T06:00:00.000Z";"2023-04-01T07:00:00.000Z";2086.3;204.8
"2023-04-01T07:00:00.000Z";"2023-04-01T08:00:00.000Z";1519.8;284.69999
"2023-04-01T08:00:00.000Z";"2023-04-01T09:00:00.000Z";1145.09999;350.5
"2023-04-01T09:00:00.000Z";"2023-04-01T10:00:00.000Z";872.2;386.8
"2023-04-01T10:00:00.000Z";"2023-04-01T11:00:00.000Z";889.79999;393.3
"2023-04-01T11:00:00.000Z";"2023-04-01T12:00:00.000Z";944.39999;373
"2023-04-01T12:00:00.000Z";"2023-04-01T13:00:00.000Z";1126.2;335.8
"2023-04-01T13:00:00.000Z";"2023-04-01T14:00:00.000Z";1303.2;265.39999
"2023-04-01T14:00:00.000Z";"2023-04-01T15:00:00.000Z";1394.7;189.19999
"2023-04-01T15:00:00.000Z";"2023-04-01T16:00:00.000Z";1517.3;120.2
"2023-04-01T16:00:00.000Z";"2023-04-01T17:00:00.000Z";1729.59999;15.5
"2023-04-01T17:00:00.000Z";"2023-04-01T18:00:00.000Z";1831.5;0
"2023-04-01T18:00:00.000Z";"2023-04-01T19:00:00.000Z";1857.4;0
"2023-04-01T19:00:00.000Z";"2023-04-01T20:00:00.000Z";2080.69999;0
"2023-04-01T20:00:00.000Z";"2023-04-01T21:00:00.000Z";2440.09999;0
"2023-04-01T21:00:00.000Z";"2023-04-01T22:00:00.000Z";2597.4;0
"2023-04-01T22:00:00.000Z";"2023-04-01T23:00:00.000Z";2848.8;0
