time,windSpeed,cloudCover
2023-04-01T00:00,23.2,40
2023-04-01T01:00,24.8,48
2023-04-01T02:00,28.6,36
2023-04-01T03:00,29.5,13
2023-04-01T04:00,30.0,14
2023-04-01T05:00,30.4,18
2023-04-01T06:00,30.8,0
2023-04-01T07:00,30.8,3
2023-04-01T08:00,30.6,1
2023-04-01T09:00,26.8,30
2023-04-01T10:00,20.7,18
2023-04-01T11:00,20.2,34
2023-04-01T12:00,20.9,38
2023-04-01T13:00,21.7,3
2023-04-01T14:00,23.3,0
2023-04-01T15:00,27.3,0
2023-04-01T16:00,28.2,0
2023-04-01T17:00,30.4,2
2023-04-01T18:00,30.1,29
2023-04-01T19:00,21.7,20
2023-04-01T20:00,18.2,8
2023-04-01T21:00,21.2,9
2023-04-01T22:00,23.5,24
2023-04-01T23:00,24.4,11
2023-04-02T00:00,26.8,8
2023-04-02T01:00,27.8,4
2023-04-02T02:00,28.1,19
2023-04-02T03:00,26.8,25
2023-04-02T04:00,26.4,14
2023-04-02T05:00,27.1,7
2023-04-02T06:00,28.2,55
2023-04-02T07:00,29.2,41
2023-04-02T08:00,29.2,39
2023-04-02T09:00,26.4,56
2023-04-02T10:00,20.9,75
2023-04-02T11:00,22.1,48
2023-04-02T12:00,22.4,26
2023-04-02T13:00,21.9,39
2023-04-02T14:00,22.0,33
2023-04-02T15:00,24.6,32
2023-04-02T16:00,25.8,21
2023-04-02T17:00,26.4,16
2023-04-02T18:00,26.9,13
2023-04-02T19:00,26.2,10
2023-04-02T20:00,22.8,5
2023-04-02T21:00,22.7,16
2023-04-02T22:00,23.9,24
2023-04-02T23:00,23.6,7
2023-04-03T00:00,22.2,2
2023-04-03T01:00,19.5,0
2023-04-03T02:00,18.3,0
2023-04-03T03:00,18.0,3
2023-04-03T04:00,16.3,3
2023-04-03T05:00,15.3,1
2023-04-03T06:00,14.7,0
2023-04-03T07:00,14.5,0
2023-04-03T08:00,13.9,0
2023-04-03T09:00,14.3,0
2023-04-03T10:00,13.1,0
2023-04-03T11:00,12.0,0
2023-04-03T12:00,7.4,0
2023-04-03T13:00,4.5,0
2023-04-03T14:00,5.8,0
2023-04-03T15:00,7.9,0
2023-04-03T16:00,7.8,1
2023-04-03T17:00,7.4,1
2023-04-03T18:00,7.9,2
2023-04-03T19:00,8.7,0
2023-04-03T20:00,10.9,2
2023-04-03T21:00,13.1,1
2023-04-03T22:00,10.9,0
2023-04-03T23:00,9.4,0
2023-04-04T00:00,9.5,0
2023-04-04T01:00,9.5,0
2023-04-04T02:00,9.2,0
2023-04-04T03:00,4.8,3
2023-04-04T04:00,3.6,1
2023-04-04T05:00,3.1,0
2023-04-04T06:00,2.6,0
2023-04-04T07:00,1.5,0
2023-04-04T08:00,1.8,0
2023-04-04T09:00,3.6,0
2023-04-04T10:00,4.0,0
2023-04-04T11:00,4.1,0
2023-04-04T12:00,4.6,0
2023-04-04T13:00,2.6,0
2023-04-04T14:00,1.8,1
2023-04-04T15:00,3.6,3
2023-04-04T16:00,5.7,3
2023-04-04T17:00,6.6,2
2023-04-04T18:00,6.8,3
2023-04-04T19:00,7.6,1
2023-04-04T20:00,5.9,1
2023-04-04T21:00,8.1,4
2023-04-04T22:00,7.7,4
2023-04-04T23:00,7.2,4
2023-04-05T00:00,7.5,6
2023-04-05T01:00,8.7,10
2023-04-05T02:00,9.5,9
2023-04-05T03:00,11.1,1
2023-04-05T04:00,9.8,1
2023-04-05T05:00,8.2,1
2023-04-05T06:00,7.6,0
2023-04-05T07:00,7.6,0
2023-04-05T08:00,6.5,0
2023-04-05T09:00,7.7,0
2023-04-05T10:00,9.3,28
2023-04-05T11:00,10.2,19
2023-04-05T12:00,10.1,18
2023-04-05T13:00,6.6,37
2023-04-05T14:00,5.4,36
2023-04-05T15:00,7.9,3
2023-04-05T16:00,9.1,12
2023-04-05T17:00,9.4,41
2023-04-05T18:00,10.8,31
2023-04-05T19:00,13.3,24
2023-04-05T20:00,17.6,9
2023-04-05T21:00,18.1,14
2023-04-05T22:00,19.5,6
2023-04-05T23:00,21.6,7
2023-04-06T00:00,21.2,5
2023-04-06T01:00,20.0,8
2023-04-06T02:00,18.8,24
2023-04-06T03:00,19.9,9
2023-04-06T04:00,20.5,11
2023-04-06T05:00,20.5,33
2023-04-06T06:00,20.9,22
2023-04-06T07:00,22.3,43
2023-04-06T08:00,23.6,45
2023-04-06T09:00,27.1,62
2023-04-06T10:00,26.4,53
2023-04-06T11:00,20.5,30
2023-04-06T12:00,17.1,63
2023-04-06T13:00,16.7,50
2023-04-06T14:00,14.9,64
2023-04-06T15:00,15.0,47
2023-04-06T16:00,15.6,21
2023-04-06T17:00,15.5,19
2023-04-06T18:00,16.6,41
2023-04-06T19:00,20.4,19
2023-04-06T20:00,26.5,10
2023-04-06T21:00,29.7,10
2023-04-06T22:00,30.7,11
2023-04-06T23:00,30.5,22
2023-04-07T00:00,30.4,18
2023-04-07T01:00,31.0,38
2023-04-07T02:00,31.0,48
2023-04-07T03:00,31.0,25
2023-04-07T04:00,30.8,10
2023-04-07T05:00,30.9,8
2023-04-07T06:00,30.8,26
2023-04-07T07:00,30.6,38
2023-04-07T08:00,29.6,48
2023-04-07T09:00,28.2,94
2023-04-07T10:00,20.6,95
2023-04-07T11:00,22.2,47
2023-04-07T12:00,23.2,30
2023-04-07T13:00,23.5,7
2023-04-07T14:00,22.7,3
2023-04-07T15:00,24.5,0
2023-04-07T16:00,24.3,0
2023-04-07T17:00,23.8,0
2023-04-07T18:00,22.0,0
2023-04-07T19:00,20.3,31
2023-04-07T20:00,19.3,95
2023-04-07T21:00,24.0,100
2023-04-07T22:00,18.4,100
2023-04-07T23:00,17.1,100
2023-04-08T00:00,12.8,62
2023-04-08T01:00,14.7,20
2023-04-08T02:00,12.3,32
2023-04-08T03:00,12.3,44
2023-04-08T04:00,12.3,63
2023-04-08T05:00,12.2,65
2023-04-08T06:00,12.6,59
2023-04-08T07:00,13.5,54
2023-04-08T08:00,13.7,54
2023-04-08T09:00,17.4,43
2023-04-08T10:00,17.2,85
2023-04-08T11:00,13.4,86
2023-04-08T12:00,13.6,37
2023-04-08T13:00,13.6,23
2023-04-08T14:00,13.1,27
2023-04-08T15:00,12.3,7
2023-04-08T16:00,13.1,14
2023-04-08T17:00,13.1,25
2023-04-08T18:00,13.8,13
2023-04-08T19:00,14.3,33
2023-04-08T20:00,14.8,53
2023-04-08T21:00,18.2,84
2023-04-08T22:00,16.2,68
2023-04-08T23:00,14.4,30
2023-04-09T00:00,13.5,15
2023-04-09T01:00,12.3,10
2023-04-09T02:00,13.3,7
2023-04-09T03:00,15.5,3
2023-04-09T04:00,16.3,1
2023-04-09T05:00,16.4,2
2023-04-09T06:00,15.8,4
2023-04-09T07:00,15.1,2
2023-04-09T08:00,14.8,2
2023-04-09T09:00,18.2,0
2023-04-09T10:00,17.4,7
2023-04-09T11:00,15.2,8
